Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
lake,90,53.82914017,0.998765394,-37,13000,102862,Yes,,,
lake,90,53.64760171,0.998746574,-37,14000,102862,Yes,,,
lake,90,53.48549663,0.998724031,-63,15000,102862,Yes,,,
peppers,50,53.46672065,0.999473536,9,1000,18397,Yes,,,
peppers,50,50.43704928,0.998667668,16,2000,18397,Yes,,,
peppers,50,48.76720842,0.997704638,14,3000,18397,Yes,,,
peppers,50,47.64994334,0.996413015,44,4000,18397,Yes,,,
peppers,50,46.82760583,0.994786749,59,5000,18397,Yes,,,
peppers,50,46.20401644,0.993053721,133,6000,18397,Yes,,,
peppers,50,45.66281364,0.992045626,173,7000,18397,Yes,,,
peppers,50,45.13750982,0.991507007,165,8000,18397,Yes,,,
peppers,50,44.6911127,0.990769856,185,9000,18397,Yes,,,
peppers,50,44.22810626,0.989613474,222,10000,18397,Yes,,,
peppers,50,43.85873767,0.988111979,300,11000,18397,Yes,,,
peppers,50,43.43400901,0.987591554,309,12000,18397,Yes,,,
peppers,50,43.03303307,0.986756003,329,13000,18397,Yes,,,
peppers,50,42.530139,0.985260431,398,14000,18397,Yes,,,
peppers,50,42.10559637,0.984438536,392,15000,18397,Yes,,,
peppers,60,54.78428035,0.999604647,49,1000,22999,Yes,,,
peppers,60,52.02066068,0.999069793,41,2000,22999,Yes,,,
peppers,60,50.2164441,0.998269805,50,3000,22999,Yes,,,
peppers,60,49.12993566,0.997354666,67,4000,22999,Yes,,,
peppers,60,48.24606894,0.996122732,102,5000,22999,Yes,,,
peppers,60,47.55729824,0.994782733,136,6000,22999,Yes,,,
peppers,60,47.02661183,0.993353242,219,7000,22999,Yes,,,
peppers,60,46.61684846,0.992763103,235,8000,22999,Yes,,,
peppers,60,46.19426832,0.992372999,252,9000,22999,Yes,,,
peppers,60,45.80335483,0.991789436,245,10000,22999,Yes,,,
peppers,60,45.44695473,0.991074382,267,11000,22999,Yes,,,
peppers,60,45.1306047,0.990080432,317,12000,22999,Yes,,,
peppers,60,44.83657992,0.989196793,377,13000,22999,Yes,,,
peppers,60,44.50980431,0.988838449,384,14000,22999,Yes,,,
peppers,60,44.17653204,0.988264674,400,15000,22999,Yes,,,
