Image,Quality,Payload,PSNR,SSIM,FSI,Max EC,Success,,Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,PSNR DESC,PSNR ASC,SELISIH,,SSIM DESC,SSIM ASC,SELISIH
baboon,70,13000,46.57947021,0.996437424,124,127848,Yes,,baboon,70,46.55632733,0.997362344,91,13000,127848,Yes,,46.57947021,46.55632733,0.023142883,,0.996437424,0.997362344,-0.00092492
baboon,70,14000,46.3494733,0.996223746,135,127848,Yes,,baboon,70,46.32263484,0.997316478,62,14000,127848,Yes,,46.3494733,46.32263484,0.026838457,,0.996223746,0.997316478,-0.001092732
baboon,70,15000,46.1253948,0.996059691,133,127848,Yes,,baboon,70,46.11588388,0.997263505,69,15000,127848,Yes,,46.1253948,46.11588388,0.009510921,,0.996059691,0.997263505,-0.001203814
baboon,80,1000,60.840367,0.9996181,21,158055,Yes,,baboon,80,60.3821738,0.999978073,7,1000,158055,Yes,,60.840367,60.3821738,0.458193204,,0.9996181,0.999978073,-0.000359973
baboon,80,2000,57.70421994,0.999333687,26,158055,Yes,,baboon,80,57.46466933,0.999953171,-15,2000,158055,Yes,,57.70421994,57.46466933,0.239550612,,0.999333687,0.999953171,-0.000619484
baboon,80,3000,55.86355253,0.999124901,13,158055,Yes,,baboon,80,55.74105507,0.99992238,-9,3000,158055,Yes,,55.86355253,55.74105507,0.122497456,,0.999124901,0.99992238,-0.000797479
baboon,80,4000,54.6235376,0.99899387,2,158055,Yes,,baboon,80,54.47666705,0.999883754,-4,4000,158055,Yes,,54.6235376,54.47666705,0.146870553,,0.99899387,0.999883754,-0.000889884
baboon,80,5000,53.60783469,0.998897073,34,158055,Yes,,baboon,80,53.47278135,0.999834428,11,5000,158055,Yes,,53.60783469,53.47278135,0.135053345,,0.998897073,0.999834428,-0.000937355
baboon,80,6000,52.81158064,0.998831954,17,158055,Yes,,baboon,80,52.67280497,0.999766084,5,6000,158055,Yes,,52.81158064,52.67280497,0.138775669,,0.998831954,0.999766084,-0.00093413
baboon,80,7000,52.16021647,0.998785672,18,158055,Yes,,baboon,80,52.00131027,0.999669984,-6,7000,158055,Yes,,52.16021647,52.00131027,0.158906203,,0.998785672,0.999669984,-0.000884312
